Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.002799	0.132544  	0.123476  	0.104546  	0.104546  	0.00559354	0.00559354	0.000406697	0.000651819	0.000297912
0.002801	0.132624  	0.123547  	0.104609  	0.104609  	0.00559404	0.00559404	0.000407069	0.000652401	0.000298192
0.002803	0.132705  	0.123619  	0.104672  	0.104672  	0.00559453	0.00559453	0.00040744	0.000652983	0.000298472
0.002805	0.132785  	0.123691  	0.104734  	0.104734  	0.00559503	0.00559503	0.000407812	0.000653565	0.000298752
0.002808	0.132865  	0.123763  	0.104797  	0.104797  	0.00559553	0.00559553	0.000408183	0.000654147	0.000299032
0.002810	0.132946  	0.123834  	0.10486   	0.10486   	0.00559602	0.00559602	0.000408555	0.000654729	0.000299312
0.002812	0.133026  	0.123906  	0.104923  	0.104923  	0.00559652	0.00559652	0.000408926	0.00065531	0.000299592
0.002814	0.133107  	0.123978  	0.104986  	0.104986  	0.00559701	0.00559701	0.000409298	0.000655892	0.000299872
0.002816	0.133187  	0.124049  	0.105049  	0.105049  	0.00559751	0.00559751	0.000409669	0.000656474	0.000300152
0.002818	0.133267  	0.124121  	0.105112  	0.105112  	0.00559801	0.00559801	0.000410041	0.000657056	0.000300432
0.002820	0.133348  	0.124193  	0.105175  	0.105175  	0.0055985 	0.0055985 	0.000410412	0.000657638	0.000300712
0.002823	0.133428  	0.124264  	0.105238  	0.105238  	0.005599  	0.005599  	0.000410784	0.00065822	0.000300992
0.002825	0.133508  	0.124336  	0.105301  	0.105301  	0.0055995 	0.0055995 	0.000411155	0.000658802	0.000301272
0.002827	0.133589  	0.124408  	0.105364  	0.105364  	0.00559999	0.00559999	0.000411527	0.000659384	0.000301552
0.002829	0.133669  	0.12448   	0.105427  	0.105427  	0.00560049	0.00560049	0.000411898	0.000659966	0.000301832
0.002831	0.13375   	0.124551  	0.10549   	0.10549   	0.00560098	0.00560098	0.00041227	0.000660547	0.000302112
0.002833	0.13383   	0.124623  	0.105553  	0.105553  	0.00560148	0.00560148	0.000412641	0.000661129	0.000302392
0.002836	0.13391   	0.124695  	0.105616  	0.105616  	0.00560198	0.00560198	0.000413013	0.000661711	0.000302672
0.002838	0.133991  	0.124766  	0.105679  	0.105679  	0.00560247	0.00560247	0.000413384	0.000662293	0.000302952
0.002840	0.134071  	0.124838  	0.105742  	0.105742  	0.00560297	0.00560297	0.000413756	0.000662875	0.000303232
0.002842	0.134151  	0.12491   	0.105805  	0.105805  	0.00560346	0.00560346	0.000414127	0.000663457	0.000303512
0.002844	0.134232  	0.124981  	0.105867  	0.105867  	0.00560396	0.00560396	0.000414499	0.000664039	0.000303792
0.002846	0.134312  	0.125053  	0.10593   	0.10593   	0.00560446	0.00560446	0.00041487	0.000664621	0.000304072
0.002849	0.134393  	0.125125  	0.105993  	0.105993  	0.00560495	0.00560495	0.000415242	0.000665203	0.000304352
0.002851	0.134473  	0.125197  	0.106056  	0.106056  	0.00560545	0.00560545	0.000415613	0.000665784	0.000304632
0.002853	0.134553  	0.125268  	0.106119  	0.106119  	0.00560594	0.00560594	0.000415985	0.000666366	0.000304912
0.002855	0.134634  	0.12534   	0.106182  	0.106182  	0.00560644	0.00560644	0.000416356	0.000666948	0.000305192
0.002857	0.134714  	0.125412  	0.106245  	0.106245  	0.00560694	0.00560694	0.000416728	0.00066753	0.000305472
0.002859	0.134794  	0.125483  	0.106308  	0.106308  	0.00560743	0.00560743	0.000417099	0.000668112	0.000305752
0.002862	0.134875  	0.125555  	0.106371  	0.106371  	0.00560793	0.00560793	0.000417471	0.000668694	0.000306032
0.002864	0.134955  	0.125627  	0.106434  	0.106434  	0.00560842	0.00560842	0.000417842	0.000669276	0.000306312
0.002866	0.135035  	0.125698  	0.106497  	0.106497  	0.00560892	0.00560892	0.000418214	0.000669858	0.000306592
0.002868	0.135116  	0.12577   	0.10656   	0.10656   	0.00560942	0.00560942	0.000418585	0.000670439	0.000306872
0.002870	0.135196  	0.125842  	0.106623  	0.106623  	0.00560991	0.00560991	0.000418957	0.000671021	0.000307152
0.002872	0.135277  	0.125914  	0.106686  	0.106686  	0.00561041	0.00561041	0.000419328	0.000671603	0.000307432
0.002875	0.135357  	0.125985  	0.106749  	0.106749  	0.00561091	0.00561091	0.0004197 	0.000672185	0.000307712
0.002877	0.135437  	0.126057  	0.106812  	0.106812  	0.0056114 	0.0056114 	0.000420071	0.000672767	0.000307992
0.002879	0.135518  	0.126129  	0.106875  	0.106875  	0.0056119 	0.0056119 	0.000420443	0.000673349	0.000308272
0.002881	0.135598  	0.1262    	0.106937  	0.106937  	0.00561239	0.00561239	0.000420814	0.000673931	0.000308552
0.002883	0.135678  	0.126272  	0.107     	0.107     	0.00561289	0.00561289	0.000421186	0.000674513	0.000308832
0.002885	0.135759  	0.126344  	0.107063  	0.107063  	0.00561339	0.00561339	0.000421557	0.000675095	0.000309112
0.002888	0.135839  	0.126415  	0.107126  	0.107126  	0.00561388	0.00561388	0.000421929	0.000675676	0.000309392
0.002890	0.13592   	0.126487  	0.107189  	0.107189  	0.00561438	0.00561438	0.0004223 	0.000676258	0.000309672
