Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.003151	0.145644  	0.135163  	0.114805  	0.114805  	0.0056744 	0.0056744 	0.000467252	0.000746667	0.000343552
0.003154	0.145725  	0.135234  	0.114868  	0.114868  	0.0056749 	0.0056749 	0.000467623	0.000747249	0.000343832
0.003156	0.145805  	0.135306  	0.114931  	0.114931  	0.0056754 	0.0056754 	0.000467995	0.000747831	0.000344112
0.003158	0.145886  	0.135378  	0.114994  	0.114994  	0.00567589	0.00567589	0.000468366	0.000748412	0.000344392
0.003160	0.145966  	0.135449  	0.115057  	0.115057  	0.00567639	0.00567639	0.000468738	0.000748994	0.000344672
0.003162	0.146046  	0.135521  	0.11512   	0.11512   	0.00567688	0.00567688	0.000469109	0.000749576	0.000344952
0.003164	0.146127  	0.135593  	0.115183  	0.115183  	0.00567738	0.00567738	0.000469481	0.000750158	0.000345232
0.003167	0.146207  	0.135665  	0.115246  	0.115246  	0.00567788	0.00567788	0.000469852	0.00075074	0.000345512
0.003169	0.146287  	0.135736  	0.115309  	0.115309  	0.00567837	0.00567837	0.000470224	0.000751322	0.000345792
0.003171	0.146368  	0.135808  	0.115372  	0.115372  	0.00567887	0.00567887	0.000470595	0.000751904	0.000346072
0.003173	0.146448  	0.13588   	0.115435  	0.115435  	0.00567936	0.00567936	0.000470967	0.000752486	0.000346352
0.003175	0.146528  	0.135951  	0.115498  	0.115498  	0.00567986	0.00567986	0.000471338	0.000753068	0.000346632
0.003177	0.146609  	0.136023  	0.115561  	0.115561  	0.00568036	0.00568036	0.00047171	0.000753649	0.000346912
0.003180	0.146689  	0.136095  	0.115624  	0.115624  	0.00568085	0.00568085	0.000472081	0.000754231	0.000347192
0.003182	0.14677   	0.136166  	0.115687  	0.115687  	0.00568135	0.00568135	0.000472453	0.000754813	0.000347472
0.003184	0.14685   	0.136238  	0.11575   	0.11575   	0.00568184	0.00568184	0.000472824	0.000755395	0.000347752
0.003186	0.14693   	0.13631   	0.115813  	0.115813  	0.00568234	0.00568234	0.000473196	0.000755977	0.000348032
0.003188	0.147011  	0.136382  	0.115876  	0.115876  	0.00568284	0.00568284	0.000473567	0.000756559	0.000348312
0.003190	0.147091  	0.136453  	0.115938  	0.115938  	0.00568333	0.00568333	0.000473939	0.000757141	0.000348592
0.003193	0.147171  	0.136525  	0.116001  	0.116001  	0.00568383	0.00568383	0.00047431	0.000757723	0.000348872
0.003195	0.147252  	0.136597  	0.116064  	0.116064  	0.00568432	0.00568432	0.000474682	0.000758305	0.000349152
0.003197	0.147332  	0.136668  	0.116127  	0.116127  	0.00568482	0.00568482	0.000475053	0.000758886	0.000349432
0.003199	0.147413  	0.13674   	0.11619   	0.11619   	0.00568532	0.00568532	0.000475425	0.000759468	0.000349712
0.003201	0.147493  	0.136812  	0.116253  	0.116253  	0.00568581	0.00568581	0.000475796	0.00076005	0.000349992
0.003203	0.147573  	0.136883  	0.116316  	0.116316  	0.00568631	0.00568631	0.000476168	0.000760632	0.000350272
0.003205	0.147654  	0.136955  	0.116379  	0.116379  	0.00568681	0.00568681	0.000476539	0.000761214	0.000350552
0.003208	0.147734  	0.137027  	0.116442  	0.116442  	0.0056873 	0.0056873 	0.000476911	0.000761796	0.000350832
0.003210	0.147814  	0.137099  	0.116505  	0.116505  	0.0056878 	0.0056878 	0.000477282	0.000762378	0.000351112
0.003212	0.147895  	0.13717   	0.116568  	0.116568  	0.00568829	0.00568829	0.000477654	0.00076296	0.000351392
0.003214	0.147975  	0.137242  	0.116631  	0.116631  	0.00568879	0.00568879	0.000478025	0.000763542	0.000351672
0.003216	0.148056  	0.137314  	0.116694  	0.116694  	0.00568929	0.00568929	0.000478397	0.000764123	0.000351952
0.003218	0.148136  	0.137385  	0.116757  	0.116757  	0.00568978	0.00568978	0.000478768	0.000764705	0.000352232
0.003221	0.148216  	0.137457  	0.11682   	0.11682   	0.00569028	0.00569028	0.00047914	0.000765287	0.000352512
0.003223	0.148297  	0.137529  	0.116883  	0.116883  	0.00569077	0.00569077	0.000479511	0.000765869	0.000352792
0.003225	0.148377  	0.1376    	0.116946  	0.116946  	0.00569127	0.00569127	0.000479883	0.000766451	0.000353072
0.003227	0.148457  	0.137672  	0.117009  	0.117009  	0.00569177	0.00569177	0.000480254	0.000767033	0.000353352
0.003229	0.148538  	0.137744  	0.117071  	0.117071  	0.00569226	0.00569226	0.000480626	0.000767615	0.000353632
0.003231	0.148618  	0.137816  	0.117134  	0.117134  	0.00569276	0.00569276	0.000480997	0.000768197	0.000353912
0.003234	0.148699  	0.137887  	0.117197  	0.117197  	0.00569325	0.00569325	0.000481369	0.000768779	0.000354192
0.003236	0.148779  	0.137959  	0.11726   	0.11726   	0.00569375	0.00569375	0.00048174	0.00076936	0.000354472
0.003238	0.148859  	0.138031  	0.117323  	0.117323  	0.00569425	0.00569425	0.000482112	0.000769942	0.000354752
0.003240	0.14894   	0.138102  	0.117386  	0.117386  	0.00569474	0.00569474	0.000482483	0.000770524	0.000355032
0.003242	0.14902   	0.138174  	0.117449  	0.117449  	0.00569524	0.00569524	0.000482855	0.000771106	0.000355312
0.003244	0.1491    	0.138246  	0.117512  	0.117512  	0.00569573	0.00569573	0.000483226	0.000771688	0.000355592
0.003247	0.149181  	0.138317  	0.117575  	0.117575  	0.00569623	0.00569623	0.000483598	0.00077227	0.000355872
0.003249	0.149261  	0.138389  	0.117638  	0.117638  	0.00569673	0.00569673	0.000483969	0.000772852	0.000356152
0.003251	0.149341  	0.138461  	0.117701  	0.117701  	0.00569722	0.00569722	0.000484341	0.000773434	0.000356432
0.003253	0.149422  	0.138533  	0.117764  	0.117764  	0.00569772	0.00569772	0.000484712	0.000774015	0.000356712
0.003255	0.149502  	0.138604  	0.117827  	0.117827  	0.00569821	0.00569821	0.000485084	0.000774597	0.000356992
0.003257	0.149583  	0.138676  	0.11789   	0.11789   	0.00569871	0.00569871	0.000485455	0.000775179	0.000357272
0.003260	0.149663  	0.138748  	0.117953  	0.117953  	0.00569921	0.00569921	0.000485827	0.000775761	0.000357552
0.003262	0.149743  	0.138819  	0.118016  	0.118016  	0.0056997 	0.0056997 	0.000486198	0.000776343	0.000357832
