 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Aluminum

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 120.00 keV   9.342E-01  9.276E-03    6461 A      1185 A      1337 A   
 130.00 keV   9.654E-01  8.744E-03    6831 A      1203 A      1370 A   
 140.00 keV   9.944E-01  8.275E-03    7190 A      1219 A      1401 A   
 150.00 keV   1.021E+00  7.859E-03    7541 A      1234 A      1430 A   
 160.00 keV   1.046E+00  7.487E-03    7884 A      1248 A      1457 A   
 170.00 keV   1.069E+00  7.152E-03    8220 A      1261 A      1483 A   
 180.00 keV   1.091E+00  6.849E-03    8550 A      1273 A      1507 A   
 200.00 keV   1.130E+00  6.320E-03    9195 A      1296 A      1552 A   
 225.00 keV   1.171E+00  5.773E-03    9975 A      1323 A      1602 A   
 250.00 keV   1.206E+00  5.321E-03    1.07 um     1347 A      1648 A   
 275.00 keV   1.234E+00  4.940E-03    1.15 um     1368 A      1690 A   
 300.00 keV   1.258E+00  4.614E-03    1.22 um     1388 A      1729 A   
 325.00 keV   1.278E+00  4.333E-03    1.29 um     1406 A      1765 A   
 350.00 keV   1.294E+00  4.086E-03    1.36 um     1423 A      1799 A   
 375.00 keV   1.308E+00  3.868E-03    1.43 um     1439 A      1832 A   
 400.00 keV   1.318E+00  3.674E-03    1.50 um     1454 A      1863 A   
 450.00 keV   1.332E+00  3.344E-03    1.64 um     1489 A      1922 A   
 500.00 keV   1.339E+00  3.072E-03    1.78 um     1521 A      1977 A   
 550.00 keV   1.341E+00  2.844E-03    1.91 um     1552 A      2029 A   
 600.00 keV   1.338E+00  2.651E-03    2.05 um     1581 A      2079 A   
 650.00 keV   1.332E+00  2.483E-03    2.19 um     1610 A      2127 A   
 700.00 keV   1.324E+00  2.337E-03    2.32 um     1638 A      2173 A   
 800.00 keV   1.302E+00  2.095E-03    2.60 um     1714 A      2264 A   
 900.00 keV   1.276E+00  1.901E-03    2.89 um     1789 A      2351 A   
   1.00 MeV   1.248E+00  1.742E-03    3.18 um     1863 A      2437 A   
   1.10 MeV   1.219E+00  1.609E-03    3.48 um     1936 A      2522 A   
   1.20 MeV   1.190E+00  1.497E-03    3.78 um     2010 A      2607 A   
   1.30 MeV   1.161E+00  1.400E-03    4.10 um     2083 A      2693 A   
   1.40 MeV   1.133E+00  1.316E-03    4.42 um     2158 A      2779 A   
   1.50 MeV   1.105E+00  1.242E-03    4.75 um     2233 A      2865 A   
   1.60 MeV   1.079E+00  1.176E-03    5.09 um     2309 A      2953 A   
   1.70 MeV   1.054E+00  1.117E-03    5.43 um     2385 A      3042 A   
   1.80 MeV   1.029E+00  1.065E-03    5.79 um     2463 A      3132 A   
   2.00 MeV   9.839E-01  9.739E-04    6.52 um     2721 A      3316 A   
   2.25 MeV   9.323E-01  8.812E-04    7.48 um     3102 A      3556 A   
   2.50 MeV   8.861E-01  8.055E-04    8.50 um     3476 A      3806 A   
   2.75 MeV   8.445E-01  7.426E-04    9.56 um     3847 A      4066 A   
