 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Boron

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 120.00 keV   1.478E+00  1.061E-02    4948 A       477 A       603 A   
 130.00 keV   1.525E+00  9.959E-03    5226 A       484 A       616 A   
 140.00 keV   1.569E+00  9.393E-03    5496 A       491 A       628 A   
 150.00 keV   1.609E+00  8.892E-03    5759 A       497 A       639 A   
 160.00 keV   1.647E+00  8.447E-03    6016 A       502 A       650 A   
 170.00 keV   1.682E+00  8.048E-03    6268 A       507 A       660 A   
 180.00 keV   1.715E+00  7.688E-03    6515 A       512 A       669 A   
 200.00 keV   1.774E+00  7.063E-03    6997 A       523 A       687 A   
 225.00 keV   1.837E+00  6.422E-03    7579 A       536 A       706 A   
 250.00 keV   1.889E+00  5.895E-03    8144 A       548 A       724 A   
 275.00 keV   1.933E+00  5.454E-03    8696 A       559 A       740 A   
 300.00 keV   1.968E+00  5.079E-03    9237 A       569 A       755 A   
 325.00 keV   1.997E+00  4.756E-03    9770 A       579 A       769 A   
 350.00 keV   2.021E+00  4.474E-03    1.03 um      588 A       782 A   
 375.00 keV   2.039E+00  4.226E-03    1.08 um      596 A       794 A   
 400.00 keV   2.054E+00  4.006E-03    1.13 um      604 A       806 A   
 450.00 keV   2.072E+00  3.633E-03    1.24 um      628 A       828 A   
 500.00 keV   2.078E+00  3.327E-03    1.34 um      651 A       849 A   
 550.00 keV   2.076E+00  3.072E-03    1.44 um      672 A       868 A   
 600.00 keV   2.067E+00  2.856E-03    1.54 um      693 A       887 A   
 650.00 keV   2.052E+00  2.670E-03    1.65 um      713 A       905 A   
 700.00 keV   2.034E+00  2.508E-03    1.75 um      733 A       922 A   
 800.00 keV   1.990E+00  2.240E-03    1.96 um      800 A       957 A   
 900.00 keV   1.939E+00  2.027E-03    2.18 um      865 A       990 A   
   1.00 MeV   1.886E+00  1.853E-03    2.40 um      928 A      1022 A   
   1.10 MeV   1.831E+00  1.708E-03    2.63 um      991 A      1055 A   
