 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Phosphorus

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 110.00 keV   1.028E+00  9.595E-03    8505 A      1792 A      1945 A   
 120.00 keV   1.069E+00  9.010E-03    8998 A      1818 A      1991 A   
 130.00 keV   1.107E+00  8.499E-03    9476 A      1840 A      2033 A   
 140.00 keV   1.141E+00  8.050E-03    9940 A      1861 A      2072 A   
 150.00 keV   1.172E+00  7.650E-03    1.04 um     1879 A      2108 A   
 160.00 keV   1.201E+00  7.292E-03    1.08 um     1897 A      2142 A   
 170.00 keV   1.226E+00  6.969E-03    1.13 um     1913 A      2174 A   
 180.00 keV   1.250E+00  6.677E-03    1.17 um     1927 A      2204 A   
 200.00 keV   1.291E+00  6.166E-03    1.25 um     1956 A      2260 A   
 225.00 keV   1.332E+00  5.638E-03    1.35 um     1989 A      2323 A   
 250.00 keV   1.365E+00  5.200E-03    1.45 um     2018 A      2380 A   
 275.00 keV   1.390E+00  4.831E-03    1.55 um     2044 A      2433 A   
 300.00 keV   1.409E+00  4.515E-03    1.65 um     2069 A      2482 A   
 325.00 keV   1.422E+00  4.242E-03    1.74 um     2092 A      2529 A   
 350.00 keV   1.432E+00  4.003E-03    1.84 um     2113 A      2573 A   
 375.00 keV   1.438E+00  3.791E-03    1.93 um     2133 A      2615 A   
 400.00 keV   1.442E+00  3.602E-03    2.02 um     2153 A      2656 A   
 450.00 keV   1.442E+00  3.281E-03    2.21 um     2198 A      2733 A   
 500.00 keV   1.435E+00  3.016E-03    2.40 um     2240 A      2807 A   
 550.00 keV   1.424E+00  2.794E-03    2.59 um     2281 A      2877 A   
 600.00 keV   1.410E+00  2.605E-03    2.78 um     2321 A      2946 A   
 650.00 keV   1.393E+00  2.441E-03    2.98 um     2361 A      3013 A   
 700.00 keV   1.375E+00  2.299E-03    3.17 um     2399 A      3079 A   
 800.00 keV   1.336E+00  2.061E-03    3.57 um     2508 A      3209 A   
