2H(12C,1p)13C @114.000 MeV (E*ejec = 0.000 / E*rec = 0.000)
Ejectile Lab Angle (deg.)    Ejectile Lab Energy (MeV)    C.M. Angle (deg.)    Recoil Lab Angle (deg.)    Recoil Lab Energy ( MeV)
118                          5.05327                      151.962              2.99451                    111.668                 
119                          4.93767                      152.596              2.93047                    111.784                 
120                          4.82632                      153.221              2.8672                     111.895                 
121                          4.719                        153.836              2.80466                    112.003                 
122                          4.61559                      154.441              2.74286                    112.106                 
123                          4.51588                      155.038              2.68176                    112.206                 
124                          4.41998                      155.625              2.62142                    112.302                 
125                          4.32743                      156.204              2.56174                    112.394                 
126                          4.23846                      156.774              2.50281                    112.483                 
127                          4.15274                      157.335              2.44455                    112.569                 
128                          4.07015                      157.889              2.38696                    112.652                 
129                          3.9907                       158.434              2.33005                    112.731                 
130                          3.91416                      158.972              2.27378                    112.808                 
131                          3.84053                      159.503              2.21817                    112.881                 
132                          3.7697                       160.026              2.1632                     112.952                 
133                          3.70155                      160.542              2.10884                    113.02                  
134                          3.63597                      161.051              2.05509                    113.086                 
135                          3.57286                      161.554              2.00191                    113.149                 
136                          3.51221                      162.05               1.94933                    113.21                  
137                          3.45391                      162.54               1.89731                    113.268                 
138                          3.39774                      163.024              1.84581                    113.324                 
139                          3.34391                      163.502              1.79489                    113.378                 
140                          3.2921                       163.974              1.74446                    113.43                  
141                          3.24242                      164.44               1.69457                    113.479                 
142                          3.19463                      164.902              1.64514                    113.527                 
143                          3.14886                      165.358              1.59623                    113.573                 
144                          3.10489                      165.809              1.54776                    113.617                 
145                          3.0627                       166.255              1.49974                    113.659                 
146                          3.02219                      166.697              1.45214                    113.7                   
147                          2.98347                      167.134              1.405                      113.738                 
148                          2.94632                      167.567              1.35824                    113.775                 
149                          2.91084                      167.996              1.3119                     113.811                 
150                          2.87682                      168.421              1.26592                    113.845                 
151                          2.84437                      168.842              1.22033                    113.877                 
152                          2.81337                      169.259              1.17509                    113.908                 
153                          2.78372                      169.673              1.13017                    113.938                 
154                          2.75552                      170.083              1.0856                     113.966                 
155                          2.72855                      170.49               1.04131                    113.993                 
156                          2.70303                      170.894              0.997363                   114.019                 
157                          2.67864                      171.295              0.953669                   114.043                 
158                          2.65558                      171.693              0.910269                   114.066                 
159                          2.63376                      172.089              0.867133                   114.088                 
160                          2.61317                      172.482              0.824253                   114.109                 
161                          2.59359                      172.872              0.781585                   114.128                 
162                          2.57523                      173.261              0.739156                   114.147                 
163                          2.558                        173.647              0.696939                   114.164                 
164                          2.54188                      174.031              0.654924                   114.18                  
165                          2.52689                      174.413              0.613102                   114.195                 
166                          2.51279                      174.794              0.571435                   114.209                 
167                          2.4998                       175.172              0.529941                   114.222                 
168                          2.48794                      175.55               0.488608                   114.234                 
169                          2.47697                      175.926              0.447402                   114.245                 
170                          2.46701                      176.3                0.406325                   114.255                 
171                          2.45806                      176.674              0.365365                   114.264                 
172                          2.45                         177.046              0.324504                   114.272                 
173                          2.44306                      177.418              0.283745                   114.279                 
174                          2.43691                      177.789              0.243057                   114.285                 
175                          2.43187                      178.159              0.202446                   114.29                  
176                          2.42761                      178.529              0.161886                   114.294                 
177                          2.42437                      178.899              0.121374                   114.297                 
178                          2.42213                      179.27               0.0808988                  114.3                   
179                          2.42067                      179.644              0.0404432                  114.301                 
180                          -1e+06                       -1e+06               -1e+06                     -1e+06                  
