 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Si- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 110.00 keV   8.985E-01  1.123E-02    9910 A      1795 A      2045 A   
 120.00 keV   9.382E-01  1.052E-02    1.05 um     1824 A      2100 A   
 130.00 keV   9.755E-01  9.909E-03    1.11 um     1851 A      2150 A   
 140.00 keV   1.010E+00  9.370E-03    1.16 um     1875 A      2196 A   
 150.00 keV   1.043E+00  8.891E-03    1.22 um     1897 A      2238 A   
 160.00 keV   1.075E+00  8.463E-03    1.27 um     1916 A      2278 A   
 170.00 keV   1.104E+00  8.079E-03    1.32 um     1935 A      2314 A   
 180.00 keV   1.132E+00  7.731E-03    1.37 um     1952 A      2349 A   
 200.00 keV   1.183E+00  7.126E-03    1.47 um     1984 A      2412 A   
 225.00 keV   1.239E+00  6.501E-03    1.59 um     2021 A      2482 A   
 250.00 keV   1.288E+00  5.985E-03    1.70 um     2053 A      2545 A   
 275.00 keV   1.331E+00  5.552E-03    1.81 um     2081 A      2601 A   
 300.00 keV   1.368E+00  5.181E-03    1.91 um     2106 A      2653 A   
 325.00 keV   1.400E+00  4.861E-03    2.01 um     2130 A      2700 A   
 350.00 keV   1.428E+00  4.582E-03    2.11 um     2151 A      2744 A   
 375.00 keV   1.453E+00  4.335E-03    2.21 um     2171 A      2786 A   
 400.00 keV   1.474E+00  4.116E-03    2.31 um     2190 A      2825 A   
 450.00 keV   1.507E+00  3.742E-03    2.50 um     2232 A      2897 A   
 500.00 keV   1.530E+00  3.435E-03    2.69 um     2271 A      2964 A   
 550.00 keV   1.544E+00  3.178E-03    2.88 um     2308 A      3025 A   
 600.00 keV   1.552E+00  2.959E-03    3.06 um     2342 A      3083 A   
 650.00 keV   1.555E+00  2.771E-03    3.25 um     2375 A      3138 A   
 700.00 keV   1.553E+00  2.607E-03    3.43 um     2407 A      3191 A   
 800.00 keV   1.539E+00  2.334E-03    3.81 um     2495 A      3292 A   
 900.00 keV   1.515E+00  2.117E-03    4.19 um     2581 A      3388 A   
   1.00 MeV   1.485E+00  1.939E-03    4.57 um     2666 A      3481 A   
   1.10 MeV   1.451E+00  1.790E-03    4.96 um     2751 A      3572 A   
   1.20 MeV   1.416E+00  1.664E-03    5.37 um     2836 A      3663 A   
   1.30 MeV   1.380E+00  1.556E-03    5.78 um     2922 A      3753 A   
   1.40 MeV   1.344E+00  1.461E-03    6.20 um     3009 A      3844 A   
   1.50 MeV   1.309E+00  1.379E-03    6.64 um     3097 A      3936 A   
   1.60 MeV   1.276E+00  1.305E-03    7.09 um     3187 A      4029 A   
   1.70 MeV   1.243E+00  1.240E-03    7.54 um     3279 A      4123 A   
